epoch,train_loss,train_acc,val_loss,val_acc
1,1.6060729026794434,0.25,1.5982471704483032,0.2727272727272727
2,1.5581788420677185,0.4,1.5982658863067627,0.22727272727272727
3,1.4908456206321716,0.48,1.579732060432434,0.36363636363636365
4,1.4283409714698792,0.61,1.5440876483917236,0.4090909090909091
5,1.3918601870536804,0.65,1.5207852125167847,0.5454545454545454
6,1.2787959277629852,0.64,1.4842886924743652,0.45454545454545453
7,1.1475708782672882,0.63,1.387135624885559,0.5454545454545454
8,1.1146561950445175,0.69,1.324715495109558,0.5454545454545454
9,1.0949982851743698,0.67,1.234266757965088,0.6363636363636364
10,1.1007048934698105,0.72,1.151655673980713,0.6363636363636364
11,0.9588456153869629,0.76,1.045559048652649,0.6363636363636364
12,0.9358048141002655,0.8,1.0292949676513672,0.5909090909090909
13,0.7187234610319138,0.87,1.0280234813690186,0.5454545454545454
14,0.6808028519153595,0.85,0.9677980542182922,0.6363636363636364
15,0.6944951564073563,0.82,0.9083737730979919,0.5909090909090909
16,0.8101392164826393,0.77,0.883158266544342,0.5909090909090909
17,0.5075750425457954,0.92,0.9292516112327576,0.5909090909090909
18,0.4528951644897461,0.89,0.9513185620307922,0.5909090909090909
19,0.4822484403848648,0.85,1.0935665369033813,0.45454545454545453
20,0.5864521190524101,0.85,0.7384121417999268,0.7272727272727273
21,0.4419514611363411,0.89,0.712611973285675,0.7272727272727273
22,0.37535806745290756,0.93,0.8794134259223938,0.6363636363636364
23,0.46548886597156525,0.88,0.6072781085968018,0.7727272727272727
24,0.35487372800707817,0.93,0.438815712928772,0.9090909090909091
25,0.34617726504802704,0.91,0.5377643704414368,0.8181818181818182
26,0.30112946406006813,0.92,0.7842931151390076,0.7727272727272727
27,0.2427343837916851,0.97,0.645097017288208,0.8181818181818182
28,0.34626634046435356,0.96,0.48686787486076355,0.8181818181818182
29,0.35219550132751465,0.96,0.5124133825302124,0.8181818181818182
30,0.287521880120039,0.95,0.8130937218666077,0.6818181818181818
31,0.23739580810070038,0.96,0.934109628200531,0.6818181818181818
32,0.30226605013012886,0.95,0.8454450964927673,0.7272727272727273
33,0.24323216453194618,0.92,1.082642912864685,0.6818181818181818
34,0.22678185999393463,0.93,0.5210999846458435,0.8181818181818182
35,0.2761855237185955,0.94,0.32466578483581543,0.9090909090909091
36,0.177240751683712,0.97,0.5736649036407471,0.7727272727272727
37,0.1482752040028572,0.99,0.7200040817260742,0.8636363636363636
38,0.13698002696037292,0.98,0.3533164858818054,0.9545454545454546
39,0.11039241962134838,0.99,0.349225252866745,0.8636363636363636
40,0.09787252824753523,1.0,0.4518965780735016,0.7727272727272727
41,0.06388554163277149,0.99,0.30867981910705566,0.9545454545454546
42,0.058368551544845104,1.0,0.16522230207920074,0.9090909090909091
43,0.3146555172279477,0.97,0.25300008058547974,0.9090909090909091
44,0.2540769875049591,0.98,0.4910781681537628,0.8636363636363636
45,0.044244589284062386,1.0,0.5086871981620789,0.8181818181818182
46,0.07391433278098702,0.98,0.5628466010093689,0.7727272727272727
47,0.09952799044549465,0.96,0.7914320230484009,0.6818181818181818
48,0.25041473004966974,0.96,0.2456834763288498,0.8636363636363636
49,0.11024749558418989,0.96,0.6033922433853149,0.8181818181818182
50,0.33313644118607044,0.96,0.613217294216156,0.8181818181818182
