epoch,train_loss,train_acc,val_loss,val_acc
1,1.4916151080812727,0.36,1.5811745524406433,0.2727272727272727
2,1.0719371778624398,0.59,1.3221139907836914,0.5
3,0.9471615042005267,0.7,0.9776590764522552,0.6363636363636364
4,0.6677071281841823,0.8,0.8253560662269592,0.5454545454545454
5,0.8012408316135406,0.75,1.5009265542030334,0.5
6,0.5315267826829638,0.83,0.7428331971168518,0.8181818181818182
7,0.5999265951769692,0.79,0.494065061211586,0.8181818181818182
8,0.5350208921091897,0.85,0.445015586912632,0.9090909090909091
9,0.34729004544871195,0.87,0.8461975157260895,0.7272727272727273
10,0.4461939590317862,0.84,0.3428008556365967,0.8181818181818182
11,0.4395952139581953,0.83,0.9741913452744484,0.7727272727272727
12,0.45596134875501904,0.87,0.1936078481376171,0.9545454545454546
13,0.45860993436404635,0.88,0.6731276214122772,0.8181818181818182
14,0.23817701318434306,0.92,0.5199146568775177,0.7727272727272727
15,0.6393981788839612,0.82,0.4110719636082649,0.8181818181818182
16,0.46415982821158003,0.84,1.5402182340621948,0.5454545454545454
17,0.608334345476968,0.79,1.1659737825393677,0.6818181818181818
18,0.47672876715660095,0.81,0.5047420561313629,0.8181818181818182
19,0.6404148425374713,0.73,0.7737572267651558,0.8636363636363636
20,0.3724256328174046,0.86,0.4066999554634094,0.8181818181818182
21,0.4797425312655313,0.83,0.31749816983938217,0.8181818181818182
22,0.6115312278270721,0.85,0.30472519993782043,0.8636363636363636
23,0.47408874120031086,0.89,0.2895718216896057,0.9090909090909091
24,0.2283728335584913,0.94,0.23085196316242218,0.8636363636363636
25,0.2410018422773906,0.9,0.19841859117150307,0.9090909090909091
26,0.32791008055210114,0.89,0.06721308641135693,1.0
27,0.22728465843413556,0.93,0.10314617492258549,1.0
28,0.5948897067989621,0.93,0.11214026436209679,1.0
29,0.3580902261393411,0.94,0.20976568199694157,0.9090909090909091
30,0.5982535822050912,0.89,0.5609517246484756,0.7272727272727273
31,0.3819035344890186,0.83,0.8191961050033569,0.7272727272727273
32,0.37332178226539064,0.85,0.1883925050497055,0.9090909090909091
33,0.23708152025938034,0.93,0.6394022703170776,0.6818181818181818
34,0.21517302415200643,0.89,0.30934832990169525,0.9090909090909091
35,0.23394744364278658,0.91,0.10613127611577511,1.0
36,0.2729142313557012,0.91,0.25940821319818497,0.8636363636363636
37,0.35748235349144253,0.94,0.560743898153305,0.9090909090909091
38,0.2895348923546927,0.9,0.4950579237192869,0.9545454545454546
39,0.8155330738851002,0.9,0.15162360668182373,1.0
40,0.4765995049050876,0.89,0.46214713156223297,0.8181818181818182
41,0.38437907717057634,0.89,0.7625602632761002,0.8636363636363636
42,0.5115425512194633,0.9,0.7070383280515671,0.8636363636363636
43,0.6862333012478692,0.85,0.26594482362270355,0.9090909090909091
44,0.24619789953742707,0.92,0.3326674550771713,0.9090909090909091
45,0.1683069488831929,0.96,0.5388911962509155,0.7727272727272727
46,0.2939475349017552,0.95,0.4204811602830887,0.8636363636363636
47,0.26519907638430595,0.95,0.10712178237736225,0.9545454545454546
48,0.0941332456256662,0.99,0.177225261926651,0.9545454545454546
49,0.1868521368929318,0.99,0.10878993198275566,1.0
50,0.26789131441286634,0.91,0.595868568867445,0.7272727272727273
