epoch,train_loss,train_acc,val_loss,val_acc
1,1.3600407093763351,0.34,12.147991180419922,0.2727272727272727
2,1.7738920748233795,0.37,2.8414783477783203,0.2727272727272727
3,1.3340459167957306,0.46,2.2578508853912354,0.2727272727272727
4,1.207452267408371,0.39,1.441361904144287,0.3181818181818182
5,1.1423635184764862,0.42,2.0030295848846436,0.3181818181818182
6,0.9749928414821625,0.53,2.6382665634155273,0.36363636363636365
7,0.8788712173700333,0.55,0.9453321099281311,0.5
8,1.1965399235486984,0.61,1.1183720827102661,0.5909090909090909
9,0.845186173915863,0.64,1.0304793119430542,0.5454545454545454
10,1.231636792421341,0.51,1.158070683479309,0.5454545454545454
11,0.9961217194795609,0.68,1.0565686225891113,0.5
12,1.0480603873729706,0.64,1.0142909288406372,0.5454545454545454
13,0.8322605639696121,0.68,0.94842928647995,0.5909090909090909
14,1.1429268270730972,0.64,0.9493893980979919,0.6363636363636364
15,0.9844549596309662,0.57,1.047896146774292,0.5909090909090909
16,0.7489018887281418,0.68,1.3185679912567139,0.45454545454545453
17,1.032789632678032,0.66,1.0492571592330933,0.5909090909090909
18,1.13221275806427,0.69,0.8654110431671143,0.5909090909090909
19,0.9189377576112747,0.73,0.9072221517562866,0.5909090909090909
20,0.6959235817193985,0.75,0.9696813821792603,0.5454545454545454
21,0.9398616701364517,0.75,1.0511120557785034,0.6363636363636364
22,1.158702701330185,0.68,1.8592158555984497,0.36363636363636365
23,0.6274696737527847,0.68,1.381825566291809,0.45454545454545453
24,1.0283587872982025,0.64,0.648970365524292,0.5909090909090909
25,0.7136711329221725,0.76,0.8499632477760315,0.5909090909090909
26,1.0640282779932022,0.78,1.7001698017120361,0.36363636363636365
27,0.7581469416618347,0.7,0.871842622756958,0.5
28,0.6374910622835159,0.77,0.6113151907920837,0.7727272727272727
29,1.098464161157608,0.79,0.4900655746459961,0.7727272727272727
30,0.7779128402471542,0.72,0.4784146249294281,0.8181818181818182
31,1.131030946969986,0.68,0.5155279040336609,0.8181818181818182
32,0.8445302248001099,0.67,0.526780903339386,0.7727272727272727
33,0.8399357348680496,0.63,0.7365901470184326,0.6818181818181818
34,0.565478965640068,0.75,0.6885483264923096,0.6818181818181818
35,0.5867482796311378,0.76,0.6845092177391052,0.6363636363636364
36,0.8897677809000015,0.74,0.5487802624702454,0.6363636363636364
37,0.5292870551347733,0.86,1.2993731498718262,0.5454545454545454
38,0.6887084394693375,0.7,0.9242570400238037,0.6818181818181818
39,0.911252997815609,0.66,0.4695955514907837,0.6818181818181818
40,0.8209058791399002,0.78,0.7697930932044983,0.6363636363636364
41,0.9249629452824593,0.79,0.6993135809898376,0.6818181818181818
42,0.5707503855228424,0.83,0.6079625487327576,0.7727272727272727
43,0.6514774784445763,0.79,1.1233608722686768,0.6818181818181818
44,0.9898721650242805,0.83,0.8085168600082397,0.7272727272727273
45,0.44148796051740646,0.86,0.961693525314331,0.7272727272727273
46,0.9156468063592911,0.73,1.049433946609497,0.6818181818181818
47,0.5312279835343361,0.77,0.6294012665748596,0.6818181818181818
48,0.5073511376976967,0.81,0.5086223483085632,0.7272727272727273
49,0.7167040854692459,0.79,0.6288804411888123,0.7272727272727273
50,0.6179297417402267,0.81,0.7647576928138733,0.6818181818181818
